N_VICTIMAS,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,fecha_hora
1,AUTOPISTA,"LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",13,-58.4651,-34.5347,MOTO,CARGAS,2019-08-29 09:00:00
1,CALLE,SAN ANTONIO y LUJAN,4,-58.3757,-34.6558,MOTO,PASAJEROS,2019-08-30 23:20:00
1,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.3716,-34.6543,MOTO,CARGAS,2019-09-05 18:00:00
1,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y TAGLE",14,-58.3981,-34.5807,PEATON,AUTO,2019-09-08 03:40:00
1,AVENIDA,"EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",4,-58.4113,-34.6542,PEATON,CARGAS,2019-09-12 08:25:00
1,CALLE,AGRELO y COLOMBRES,5,-58.4182,-34.6187,MOTO,PASAJEROS,2019-09-17 05:30:00
1,GRAL PAZ,"CABILDO AV. y PAZ, GRAL. AV.",13,-58.4762,-34.5383,PEATON,MOTO,2019-09-17 18:40:00
1,AVENIDA,ELCANO AV. 4300,15,-58.4614,-34.5862,PEATON,PASAJEROS,2019-09-23 16:00:00
1,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",8,-58.4299,-34.6612,BICICLETA,CARGAS,2019-09-25 07:45:00
1,CALLE,MONTE y CORVALAN,9,-58.4846,-34.6584,AUTO,AUTO,2019-09-26 08:00:00
1,CALLE,TANDIL y LAFUENTE,7,-58.4657,-34.6363,BICICLETA,CARGAS,2019-09-27 11:45:00
1,CALLE,CARDOSO y BACACAY,10,-58.4926,-34.6342,BICICLETA,TREN,2019-10-09 22:18:00
1,AVENIDA,CORRIENTES AV. 6700,15,-58.4528,-34.5884,MOTO,PASAJEROS,2019-10-15 14:10:00
1,AVENIDA,ALVAREZ THOMAS AV. y MENDOZA,12,-58.4797,-34.5742,MOTO,MOTO,2019-10-21 21:00:00
1,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.4062,-34.6508,PEATON,PASAJEROS,2019-10-22 20:00:00
1,AVENIDA,"BROWN, ALTE. AV. y BLANES, JUAN MANUEL",4,-58.3624,-34.6311,PEATON,CARGAS,2019-10-23 15:45:00
1,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. 5455",9,-58.4996,-34.6487,PEATON,MOTO,2019-10-24 18:26:00
1,AVENIDA,"JUSTO, JUAN B. AV. y CAMARGO",15,-58.4455,-34.5956,PEATON,PASAJEROS,2019-11-01 20:50:00
1,CALLE,"BRIN, MINISTRO y SUAREZ",4,-58.3561,-34.6342,PEATON,PASAJEROS,2019-11-03 10:30:00
1,AVENIDA,"NIZA y JUSTO, JUAN B. AV.",11,-58.4648,-34.6091,BICICLETA,OTRO,2019-11-13 11:50:00
1,CALLE,CAMARGO y SERRANO,15,-58.4437,-34.5972,MOTO,OTRO,2019-11-18 14:00:00
1,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.3786,-34.6291,MOTO,CARGAS,2019-11-20 15:30:00
1,AVENIDA,CASEROS AV. y PIEDRAS,1,-58.3756,-34.6273,PEATON,PASAJEROS,2019-11-22 19:33:00
1,AUTOPISTA,AUTOPISTA PERITO MORENO KM. 5.6,9,-58.4772,-34.6482,MOTO,MULTIPLE,2019-11-25 08:50:00
1,AVENIDA,GUZMAN 365,15,-58.4513,-34.5898,PASAJEROS,PASAJEROS,2019-11-25 14:00:00
1,AVENIDA,DE LOS CONSTITUYENTES AV. 4300,12,-58.4904,-34.5837,MOTO,AUTO,2019-12-05 17:30:00
1,AVENIDA,"MORENO, PERITO AV. y TILCARA AV.",4,-58.421,-34.6499,MOTO,MOTO,2019-12-17 04:20:00
1,CALLE,"IBARROLA y GORDILLO, TIMOTEO",9,-58.5222,-34.6414,MOTO,AUTO,2019-12-17 14:30:00
1,GRAL PAZ,"PAZ, GRAL. AV. y GRIVEO",11,-58.5217,-34.5947,MOTO,MOTO,2019-12-18 12:00:00
1,AVENIDA,RIVADAVIA AV. y PERGAMINO,10,-58.4746,-34.6321,MOTO,AUTO,2019-12-21 04:25:00
1,AVENIDA,SANTO TOME y SEGUROLA AV.,10,-58.5051,-34.6152,PEATON,AUTO,2019-05-05 11:00:00
1,CALLE,URIARTE y LOYOLA,15,-58.4391,-34.5921,PEATON,AUTO,2020-01-04 10:40:00
1,AVENIDA,SARAZA y VARELA AV.,7,-58.4502,-34.6465,MOTO,OBJETO FIJO,2020-01-05 20:00:00
1,AVENIDA,RIVADAVIA AV. y COMBATE DE LOS POZOS,3,-58.3934,-34.6093,PEATON,AUTO,2020-01-11 06:00:00
1,AVENIDA,RODRIGUEZ PEÃ‘A y RIVADAVIA AV.,1,-58.3906,-34.6092,PEATON,PASAJEROS,2020-01-14 21:40:00
1,AVENIDA,24 DE NOVIEMBRE y SAN JUAN AV.,3,-58.4104,-34.6248,MOTO,PASAJEROS,2020-01-14 06:00:00
1,AVENIDA,LAFUENTE AV. 2250,8,-58.4493,-34.6541,MOTO,CARGAS,2020-01-20 12:55:00
1,CALLE,CHILE y LIMA,1,-58.3816,-34.6165,PEATON,MOTO,2020-01-27 00:37:00
1,AVENIDA,"CORDOBA AV. y JAURES, JEAN",2,-58.4066,-34.598,MOTO,CARGAS,2020-01-30 07:10:00
1,CALLE,"PERON, JUAN DOMINGO, TTE. GENERAL y SALGUERO, JERONIMO",5,-58.4199,-34.606,PEATON,AUTO,2020-02-04 14:50:00
1,AVENIDA,9 DE JULIO AV. y SAN JUAN AV.,1,-58.381,-34.6221,MOTO,OBJETO FIJO,2020-02-08 05:45:00
1,CALLE,COLOMBRES 466,5,-58.418,-34.6182,MOTO,CARGAS,2020-02-12 11:29:00
1,CALLE,MEXICO 2860,3,-58.406,-34.6178,PEATON,MOTO,2020-02-18 21:00:00
1,AVENIDA,COMBATIENTES DE MALVINAS AV. y TRIUNVIRATO AV.,15,-58.4755,-34.5799,PEATON,MOTO,2020-02-20 12:00:00
1,CALLE,BERMUDEZ y NOGOYA,11,-58.514,-34.616,MOTO,PASAJEROS,2020-02-27 02:14:00
1,AVENIDA,BRASIL AV. y PASEO COLON AV.,1,-58.368,-34.6252,MOTO,PASAJEROS,2020-02-28 14:30:00
1,AVENIDA,"ALEM, LEANDRO N. AV. 770",1,-58.3713,-34.5988,PEATON,PASAJEROS,2020-02-29 13:00:00
1,AVENIDA,BELGRANO AV. y RINCON,3,-58.3961,-34.6141,PEATON,AUTO,2020-03-05 23:00:00
1,AVENIDA,"UDAONDO, GUILLERMO AV. 901",13,-58.449,-34.542,MOTO,OBJETO FIJO,2020-03-09 14:00:00
1,CALLE,CONSTITUCION y CASTRO,5,-58.4197,-34.6285,PEATON,AUTO,2020-03-10 21:00:00
1,AVENIDA,"PUEYRREDON AV. y GOMEZ, VALENTIN",3,-58.4057,-34.6056,PEATON,MOTO,2020-03-13 17:30:00
1,CALLE,"BRAVO, MARIO 1279",2,-58.4145,-34.5949,PEATON,AUTO,2020-03-14 16:50:00
1,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,-58.473,-34.6625,AUTO,CARGAS,2020-04-07 06:15:00
1,AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL. y BROWN, ALTE. AV.",4,-58.3579,-34.637,AUTO,CARGAS,2020-04-09 18:42:00
1,CALLE,MURGUIONDO 1339,9,-58.508,-34.6518,AUTO,AUTO,2020-04-24 07:58:00
1,AVENIDA,RIVADAVIA AV. 2551,3,-58.4026,-34.6098,PEATON,AUTO,2020-05-12 05:35:00
1,AUTOPISTA,,14,-58.3904,-34.6319,MOTO,OBJETO FIJO,2020-05-17 06:40:00
1,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL. y MONTIEL",8,-58.4827,-34.6845,PEATON,CARGAS,2020-05-18 08:00:00
1,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y WARNES AV.",15,-58.4425,-34.6022,PEATON,PASAJEROS,2020-05-19 10:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",9,-58.5291,-34.6389,PEATON,PASAJEROS,2020-06-10 14:00:00
1,AVENIDA,SAN MARTIN AV. 1550,6,-58.4516,-34.6065,MOTO,MULTIPLE,2020-06-16 15:00:00
